assignment_id,assignment_name,team_id,team_name,round_number,reviewer_participant_id,reviewer_name,response_id,total_score_percent
1028,OSS project & documentation,33382,Team_5205,2,44639,student8981,131513,86.67
1028,OSS project & documentation,33382,Team_5205,2,44651,student8995,131539,100.00
1028,OSS project & documentation,33382,Team_5205,2,44654,student8998,131512,85.71
1028,OSS project & documentation,33382,Team_5205,2,44662,student9008,131338,100.00
1028,OSS project & documentation,33382,Team_5205,2,44664,student9013,131527,100.00
1028,OSS project & documentation,33382,Team_5205,2,44665,student9014,131388,82.86
1028,OSS project & documentation,33382,Team_5205,2,44681,student9032,131313,94.29
1028,OSS project & documentation,33383,Team_9155,0,44661,student9007,131549,NULL
1028,OSS project & documentation,33383,Team_9155,1,44690,student8824,131242,80.00
1028,OSS project & documentation,33383,Team_9155,1,44637,student8979,131158,85.00
1028,OSS project & documentation,33383,Team_9155,1,44640,student8982,131182,60.00
1028,OSS project & documentation,33383,Team_9155,1,44647,student8989,131264,87.50
1028,OSS project & documentation,33383,Team_9155,1,44661,student9007,131205,95.00
1028,OSS project & documentation,33383,Team_9155,1,44662,student9008,131097,82.50
1028,OSS project & documentation,33383,Team_9155,1,44675,student9026,131132,87.50
1028,OSS project & documentation,33383,Team_9155,1,44677,student9028,131288,90.00
1028,OSS project & documentation,33383,Team_9155,1,44679,student9030,131210,100.00
1028,OSS project & documentation,33383,Team_9155,1,44692,student9043,131122,60.00
1028,OSS project & documentation,33383,Team_9155,2,44690,student8824,131504,97.14
1028,OSS project & documentation,33383,Team_9155,2,44637,student8979,131390,97.14
1028,OSS project & documentation,33383,Team_9155,2,44640,student8982,131488,66.67
1028,OSS project & documentation,33383,Team_9155,2,44647,student8989,131431,88.57
1028,OSS project & documentation,33383,Team_9155,2,44661,student9007,131436,91.43
1028,OSS project & documentation,33383,Team_9155,2,44662,student9008,131339,94.29
1028,OSS project & documentation,33383,Team_9155,2,44675,student9026,131322,94.29
1028,OSS project & documentation,33383,Team_9155,2,44677,student9028,131393,91.43
1028,OSS project & documentation,33383,Team_9155,2,44678,student9029,131311,100.00
1028,OSS project & documentation,33383,Team_9155,2,44679,student9030,131536,100.00
1028,OSS project & documentation,33383,Team_9155,2,44692,student9043,131371,93.33
1028,OSS project & documentation,33384,Team_7020,1,44647,student8989,131276,95.00
1028,OSS project & documentation,33384,Team_7020,1,44649,student8991,131206,95.00
1028,OSS project & documentation,33384,Team_7020,1,44662,student9008,131103,95.00
1028,OSS project & documentation,33384,Team_7020,1,44663,student9011,131254,97.50
1028,OSS project & documentation,33384,Team_7020,1,44667,student9016,131235,85.00
1028,OSS project & documentation,33384,Team_7020,1,44669,student9019,131183,72.50
1028,OSS project & documentation,33384,Team_7020,1,44674,student9025,131126,87.50
1028,OSS project & documentation,33384,Team_7020,1,44676,student9027,131145,60.00
1028,OSS project & documentation,33384,Team_7020,1,44677,student9028,131285,95.00
1028,OSS project & documentation,33384,Team_7020,1,44683,student9034,131156,85.00
1028,OSS project & documentation,33384,Team_7020,2,44647,student8989,131435,77.14
1028,OSS project & documentation,33384,Team_7020,2,44649,student8991,131405,100.00
1028,OSS project & documentation,33384,Team_7020,2,44662,student9008,131341,97.14
1028,OSS project & documentation,33384,Team_7020,2,44667,student9016,131535,100.00
1028,OSS project & documentation,33384,Team_7020,2,44669,student9019,131451,100.00
1028,OSS project & documentation,33384,Team_7020,2,44674,student9025,131372,74.29
1028,OSS project & documentation,33384,Team_7020,2,44676,student9027,131499,NULL
1028,OSS project & documentation,33384,Team_7020,2,44677,student9028,131387,94.29
1028,OSS project & documentation,33386,Team_7506,1,44693,student8847,131104,92.50
1028,OSS project & documentation,33386,Team_7506,1,44637,student8979,131093,85.00
1028,OSS project & documentation,33386,Team_7506,1,44638,student8980,131269,100.00
1028,OSS project & documentation,33386,Team_7506,1,44654,student8998,131204,92.50
1028,OSS project & documentation,33386,Team_7506,1,44664,student9013,131178,97.50
1028,OSS project & documentation,33386,Team_7506,1,44667,student9016,131230,85.00
1028,OSS project & documentation,33386,Team_7506,1,44681,student9032,131291,100.00
1028,OSS project & documentation,33386,Team_7506,1,44682,student9033,131171,92.50
1028,OSS project & documentation,33386,Team_7506,1,44683,student9034,131150,85.00
1028,OSS project & documentation,33386,Team_7506,1,44691,student9042,131253,95.00
1028,OSS project & documentation,33386,Team_7506,2,44693,student8847,131395,100.00
1028,OSS project & documentation,33386,Team_7506,2,44637,student8979,131389,100.00
1028,OSS project & documentation,33386,Team_7506,2,44638,student8980,131448,100.00
1028,OSS project & documentation,33386,Team_7506,2,44654,student8998,131526,82.86
1028,OSS project & documentation,33386,Team_7506,2,44664,student9013,131520,100.00
1028,OSS project & documentation,33386,Team_7506,2,44667,student9016,131531,85.71
1028,OSS project & documentation,33386,Team_7506,2,44673,student9024,131514,82.86
1028,OSS project & documentation,33386,Team_7506,2,44681,student9032,131528,100.00
1028,OSS project & documentation,33386,Team_7506,2,44682,student9033,131487,91.43
1028,OSS project & documentation,33387,Team_1757,1,44693,student8847,131187,97.50
1028,OSS project & documentation,33387,Team_1757,1,44636,student8978,131147,97.50
1028,OSS project & documentation,33387,Team_1757,1,44637,student8979,131081,80.00
1028,OSS project & documentation,33387,Team_1757,1,44661,student9007,131293,100.00
1028,OSS project & documentation,33387,Team_1757,1,44666,student9015,131218,74.29
1028,OSS project & documentation,33387,Team_1757,1,44667,student9016,131240,97.50
1028,OSS project & documentation,33387,Team_1757,1,44668,student9018,131164,97.50
1028,OSS project & documentation,33387,Team_1757,1,44674,student9025,131231,90.00
1028,OSS project & documentation,33387,Team_1757,1,44682,student9033,131279,85.00
1028,OSS project & documentation,33387,Team_1757,1,44689,student9041,131177,92.50
1028,OSS project & documentation,33387,Team_1757,2,44693,student8847,131398,91.43
1028,OSS project & documentation,33387,Team_1757,2,44637,student8979,131384,88.57
1028,OSS project & documentation,33387,Team_1757,2,44650,student8992,131503,94.29
1028,OSS project & documentation,33387,Team_1757,2,44661,student9007,131511,100.00
1028,OSS project & documentation,33387,Team_1757,2,44666,student9015,131342,90.00
1028,OSS project & documentation,33387,Team_1757,2,44667,student9016,131537,94.29
1028,OSS project & documentation,33387,Team_1757,2,44674,student9025,131428,74.29
1028,OSS project & documentation,33387,Team_1757,2,44682,student9033,131491,80.00
1028,OSS project & documentation,33387,Team_1757,2,44689,student9041,131490,74.29
1028,OSS project & documentation,33388,Team_9179,1,44634,student8975,131244,65.00
1028,OSS project & documentation,33388,Team_9179,1,44646,student8988,131120,63.33
1028,OSS project & documentation,33388,Team_9179,1,44653,student8997,131101,45.00
1028,OSS project & documentation,33388,Team_9179,1,44655,student8999,131161,65.00
1028,OSS project & documentation,33388,Team_9179,1,44658,student9003,131221,67.50
1028,OSS project & documentation,33388,Team_9179,1,44660,student9006,131173,60.00
1028,OSS project & documentation,33388,Team_9179,1,44675,student9026,131135,62.50
1028,OSS project & documentation,33388,Team_9179,1,44684,student9035,131233,57.50
1028,OSS project & documentation,33388,Team_9179,1,44691,student9042,131259,67.50
1028,OSS project & documentation,33388,Team_9179,2,44634,student8975,131508,88.57
1028,OSS project & documentation,33388,Team_9179,2,44646,student8988,131368,83.33
1028,OSS project & documentation,33388,Team_9179,2,44653,student8997,131374,65.71
1028,OSS project & documentation,33388,Team_9179,2,44655,student8999,131360,88.57
1028,OSS project & documentation,33388,Team_9179,2,44658,student9003,131346,91.43
1028,OSS project & documentation,33388,Team_9179,2,44662,student9008,131299,77.14
1028,OSS project & documentation,33388,Team_9179,2,44675,student9026,131421,88.57
1028,OSS project & documentation,33388,Team_9179,2,44684,student9035,131437,97.14
1028,OSS project & documentation,33389,quiz_controller,1,44642,student8984,131214,94.29
1028,OSS project & documentation,33389,quiz_controller,1,44649,student8991,131212,100.00
1028,OSS project & documentation,33389,quiz_controller,1,44652,student8996,131191,85.00
1028,OSS project & documentation,33389,quiz_controller,1,44655,student8999,131266,90.00
1028,OSS project & documentation,33389,quiz_controller,1,44671,student9022,131179,82.50
1028,OSS project & documentation,33389,quiz_controller,1,44681,student9032,131295,100.00
1028,OSS project & documentation,33389,quiz_controller,1,44685,student9036,131157,90.00
1028,OSS project & documentation,33389,quiz_controller,1,44686,student9037,131134,100.00
1028,OSS project & documentation,33389,quiz_controller,1,44691,student9042,131255,80.00
1028,OSS project & documentation,33389,quiz_controller,1,44692,student9043,131162,97.50
1028,OSS project & documentation,33389,quiz_controller,2,44642,student8984,131316,100.00
1028,OSS project & documentation,33389,quiz_controller,2,44649,student8991,131407,100.00
1028,OSS project & documentation,33389,quiz_controller,2,44652,student8996,131348,100.00
1028,OSS project & documentation,33389,quiz_controller,2,44655,student8999,131309,96.67
1028,OSS project & documentation,33389,quiz_controller,2,44671,student9022,131400,100.00
1028,OSS project & documentation,33389,quiz_controller,2,44681,student9032,131529,88.57
1028,OSS project & documentation,33389,quiz_controller,2,44685,student9036,131452,100.00
1028,OSS project & documentation,33389,quiz_controller,2,44686,student9037,131397,100.00
1028,OSS project & documentation,33389,quiz_controller,2,44687,student9039,131354,91.43
1028,OSS project & documentation,33389,quiz_controller,2,44692,student9043,131373,97.14
1028,OSS project & documentation,33390,Team_1651,1,44641,student8983,131237,75.00
1028,OSS project & documentation,33390,Team_1651,1,44643,student8985,131243,65.00
1028,OSS project & documentation,33390,Team_1651,1,44649,student8991,131129,92.50
1028,OSS project & documentation,33390,Team_1651,1,44659,student9005,131277,65.00
1028,OSS project & documentation,33390,Team_1651,1,44661,student9007,131198,90.00
1028,OSS project & documentation,33390,Team_1651,1,44667,student9016,131232,70.00
1028,OSS project & documentation,33390,Team_1651,1,44671,student9022,131185,67.50
1028,OSS project & documentation,33390,Team_1651,1,44672,student9023,131092,100.00
1028,OSS project & documentation,33390,Team_1651,1,44681,student9032,131296,100.00
1028,OSS project & documentation,33390,Team_1651,1,44685,student9036,131188,52.50
1028,OSS project & documentation,33390,Team_1651,2,44641,student8983,131362,77.14
1028,OSS project & documentation,33390,Team_1651,2,44649,student8991,131403,94.29
1028,OSS project & documentation,33390,Team_1651,2,44659,student9005,131478,97.14
1028,OSS project & documentation,33390,Team_1651,2,44661,student9007,131432,88.57
1028,OSS project & documentation,33390,Team_1651,2,44667,student9016,131532,82.86
1028,OSS project & documentation,33390,Team_1651,2,44671,student9022,131401,82.86
1028,OSS project & documentation,33390,Team_1651,2,44672,student9023,131306,91.43
1028,OSS project & documentation,33390,Team_1651,2,44681,student9032,131530,100.00
1028,OSS project & documentation,33390,Team_1651,2,44685,student9036,131467,65.71
1028,OSS project & documentation,33391,Team_8811,1,44634,student8975,131241,92.50
1028,OSS project & documentation,33391,Team_8811,1,44636,student8978,131133,100.00
1028,OSS project & documentation,33391,Team_8811,1,44642,student8984,131213,100.00
1028,OSS project & documentation,33391,Team_8811,1,44651,student8995,131258,90.00
1028,OSS project & documentation,33391,Team_8811,1,44653,student8997,131109,87.50
1028,OSS project & documentation,33391,Team_8811,1,44668,student9018,131165,95.00
1028,OSS project & documentation,33391,Team_8811,1,44669,student9019,131227,97.50
1028,OSS project & documentation,33391,Team_8811,1,44671,student9022,131096,95.00
1028,OSS project & documentation,33391,Team_8811,1,44682,student9033,131283,85.00
1028,OSS project & documentation,33391,Team_8811,1,44684,student9035,131199,95.00
1028,OSS project & documentation,33391,Team_8811,2,44634,student8975,131430,88.57
1028,OSS project & documentation,33391,Team_8811,2,44651,student8995,131538,100.00
1028,OSS project & documentation,33391,Team_8811,2,44653,student8997,131377,80.00
1028,OSS project & documentation,33391,Team_8811,2,44669,student9019,131485,71.43
1028,OSS project & documentation,33391,Team_8811,2,44671,student9022,131392,65.71
1028,OSS project & documentation,33391,Team_8811,2,44682,student9033,131492,82.86
1028,OSS project & documentation,33391,Team_8811,2,44684,student9035,131413,94.29
1028,OSS project & documentation,33392,Team_7695,1,44636,student8978,131144,65.00
1028,OSS project & documentation,33392,Team_7695,1,44643,student8985,131239,85.00
1028,OSS project & documentation,33392,Team_7695,1,44647,student8989,131272,97.50
1028,OSS project & documentation,33392,Team_7695,1,44648,student8990,131095,100.00
